index,Unnamed: 0,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,row_id,sentiment_type,sentiment_score
0,0,New detail about the manuscript call into question the relationship between iniquity dealer museum and collector ,2006-04-13 04:00:00+00:00,"New details about the manuscript call into question the relationship between antiquities dealers, museums and collectors.","{'main': 'How the Gospel of Judas Emerged', 'kicker': None, 'content_kicker': None, 'print_headline': 'Emergence of the Gospel of Judas Offers a Tangled Tale of Its Own', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Iscariot, Judas', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'National Geographic Society', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Bible', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Christians and Christianity', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Egypt', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Archaeology and Anthropology', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Manuscripts', 'rank': 7, 'major': 'N'}]",National,Science,0,compound,0.0
1,1,Among other grant the Persian Gulf nation is giving million to Easier University of Louisiana the only historically black Catholic university in the United States ,2006-05-02 04:00:00+00:00,"Among other grants, the Persian Gulf nation is giving $17.5 million to Xavier University of Louisiana, the only historically black Catholic university in the United States.","{'main': 'Qatar Grants Millions in Aid to New Orleans', 'kicker': None, 'content_kicker': None, 'print_headline': 'Qatar Grants Millions in Aid to New Orleans', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'New Orleans (La)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Gifts', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'March of Dimes', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'Habitat for Humanity', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Qatar', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'HURRICANE KATRINA', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Louisiana State University', 'rank': 8, 'major': 'N'}, {'name': 'organizations', 'value': 'Tulane University', 'rank': 9, 'major': 'N'}]",National,U.S.,1,compound,0.8591
2,2,The report said European country helped the C I A transfer terrorist suspect and two harbored detention center ,2006-06-08 04:00:00+00:00,"The report said 14 European countries helped the C.I.A. transfer terrorism suspects, and two harbored detention centers.","{'main': ""Report Faults Europe in C.I.A. Detainee 'Web'"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Report Faults Europe in C.I.A. Detainee 'Web'"", 'name': None, 'seo': None, 'sub': None}",[],Foreign,World,2,compound,-0.8555
3,3,The European Union pushed forward with enlargement plan conducting a first round of membership negotiation ,2006-06-13 04:00:00+00:00,"The European Union pushed forward with enlargement plans, conducting a first round of membership negotiations.","{'main': 'European Union Moves Ahead With Turkey and Croatia Talks', 'kicker': None, 'content_kicker': None, 'print_headline': 'European Union Moves Ahead With Turkey and Croatia Talks', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Croatia', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'ALBANIA', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Turkey', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'European Union', 'rank': 4, 'major': 'N'}]",Foreign,World,3,compound,0.0
4,4,The tune population in the Mediterranean is nearing extinction a new World Wildlife Fund report concluded ,2006-07-16 04:00:00+00:00,"The tuna population in the Mediterranean is nearing extinction, a new World Wildlife Fund report concludes.","{'main': 'Fishing Depletes Mediterranean Tuna, Conservationists Say', 'kicker': None, 'content_kicker': None, 'print_headline': 'Fishing Depletes Mediterranean Tuna, Conservationists Say', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'World Wildlife Fund', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Fishing, Commercial', 'rank': 2, 'major': 'N'}]",Foreign,World,4,compound,0.0
5,5,Israel conducted airstrikes against coastal rear installation a Hezbollah force continued their rocket carriage into northern Israel ,2006-07-16 04:00:00+00:00,Israel conducted airstrikes against coastal radar installations as Hezbollah forces continued their rocket barrage into northern Israel.,"{'main': 'Israel Widens Scope of Attacks Across Lebanon', 'kicker': None, 'content_kicker': None, 'print_headline': 'ISRAEL WIDENING SCOPE OF ATTACKS ACROSS LEBANON', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Lebanon', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Hezbollah', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}]",Foreign,World,5,compound,0.0
6,6,Bony Clair and Of Anna called for an international force to quell the fighting between Israel and the Hezbollah militia ,2006-07-18 04:00:00+00:00,Tony Blair and Kofi Annan called for an international force to quell the fighting between Israel and the Hezbollah militia.,"{'main': 'Diplomats Seek Foreign Patrols for Mideast', 'kicker': 'The Overview', 'content_kicker': None, 'print_headline': 'DIPLOMATS SEEK FOREIGN PATROLS TO CALM MIDEAST', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Lebanon', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Hezbollah', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'United Nations', 'rank': 4, 'major': 'N'}]",Foreign,World,6,compound,-0.3612
7,7,The plan is for Israel to hit Lebanon for about another week followed by a visit by Condoleezza Vice to establish a suffer zone official said ,2006-07-19 04:00:00+00:00,"The plan is for Israel to hit Lebanon for about another week, followed by a visit by Condoleezza Rice to establish a buffer zone, officials said.","{'main': 'U.S. Appears to Be Waiting to Act on Israeli Airstrikes', 'kicker': 'Violence', 'content_kicker': None, 'print_headline': 'U.S. Seen Waiting to Act on Israeli Strikes in Lebanon', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Hezbollah', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'United Nations', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Lebanon', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Olmert, Ehud', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'Security Council', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Rice, Condoleezza', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 11, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 12, 'major': 'N'}]",Foreign,World,7,compound,-0.5423
8,8,The deadliest day yet in the deepening two front Middle Last crisis claimed more than life in Lebanon the Papa Strip the West Bank and northern Israel with no immediate cease fire in sight ,2006-07-20 04:00:00+00:00,"The deadliest day yet in the deepening two-front Middle East crisis claimed more than 70 lives in Lebanon, the Gaza Strip, the West Bank and northern Israel, with no immediate cease-fire in sight.","{'main': 'Toll Rises in Middle East; Bunker Is Hit', 'kicker': None, 'content_kicker': None, 'print_headline': 'DEATH TOLL RISES IN MIDEAST FIGHT; BUNKER BOMBED', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Palestinians', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Hezbollah', 'rank': 3, 'major': 'N'}]",Foreign,World,8,compound,-0.8271
9,9,The mayor of Tyre Lebanon announced that any body not claimed within the next two day would be buried temporarily in a mass grave ,2006-07-21 04:00:00+00:00,"The mayor of Tyre, Lebanon, announced that any bodies not claimed within the next two days would be buried temporarily in a mass grave.","{'main': 'In Scramble to Evade Israeli Bombs, the Living Leave the Dead Behind', 'kicker': 'Airstrikes', 'content_kicker': None, 'print_headline': 'In Scramble to Evade Israeli Bombs, the Living Leave the Dead Behind', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Hezbollah', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'United Nations', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Lebanon', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Israel', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Cyprus', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Cemeteries', 'rank': 6, 'major': 'N'}]",Foreign,World,9,compound,-0.3818
