index,Unnamed: 0,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,row_id,sentiment_type,sentiment_score
0,0,Defense Secretary Donald H Rumsfeld will leave for the Middle Last this evening for discussion with political and military leader who support the United States campaign against terrorist ,2001-10-02 05:00:00+00:00,Defense Secretary Donald H. Rumsfeld will leave for the Middle East this evening for discussions with political and military leaders who support the United States' campaign against terrorism.,"{'main': 'Rumsfeld Will Visit Middle East at Bush Request', 'kicker': 'The Military', 'content_kicker': None, 'print_headline': 'Rumsfeld Will Visit Middle East at Bush Request', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Pilots', 'rank': 5, 'major': 'N'}]",National,U.S.,0,compound,0.0258
1,1,Following is a transcribe of President Rush s address to the United Nations on Thursday a recorded by The New Work Times ,2002-09-12 05:00:00+00:00,"Following is a transcript of President Bush's address to the United Nations on Thursday, as recorded by The New York Times:","{'main': ""Text: Bush's Speech to U.N. on Iraq"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Text: Bush's Speech to U.N. on Iraq"", 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,1,compound,0.4215
2,2,CARL LEVIN D MICHIGAN Or President I come to the floor today to speak in support of an alternative resolution which I will be introducing and to explain why I believe it is the right way to go and is a better alternative than the White House approach ,2002-10-04 05:00:00+00:00,"CARL LEVIN (D - MICHIGAN). Mr. President, I come to the floor today to speak in support of an alternative resolution, which I will be introducing, and to explain why I believe it is the right way to go and is a better alternative than the White House approach.","{'main': 'Text: Senator Carl Levin', 'kicker': None, 'content_kicker': None, 'print_headline': 'Text: Senator Carl Levin', 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,2,compound,0.6808
3,3,the Cranial air force chief said the missile the War wa made in Ran with very advanced feature ,2006-04-01 05:00:00+00:00,"the Iranian air force chief said the missile, the Fajr-3, was made in Iran with ""very advanced"" features.","{'main': ""Iran Fires Versatile Missile in a 'Defensive' Test"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Iran Fires Versatile Missile in a 'Defensive' Test"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Iran', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Tests and Testing', 'rank': 2, 'major': 'N'}]",Foreign,World,3,compound,-0.3832
4,4,Continuing the overhauled of his staff President Rush chose a trusted insider Mob Footman to be his budget director ,2006-04-19 04:00:00+00:00,"Continuing the overhaul of his staff, President Bush chose a trusted insider, Rob Portman,  to be his budget director.","{'main': 'Ex-Congressman Is Tapped for Budget Post', 'kicker': None, 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",[],National,Washington,4,compound,0.4767
5,5,For year Arab government kept drug abuse quiet but now some country are placing a much emphasis on prevention and rehabilitation a on punishment ,2006-05-05 04:00:00+00:00,"For years Arab governments kept drug abuse quiet, but now some countries are placing as much emphasis on prevention and rehabilitation as on punishment.","{'main': 'Bustling Gulf City Finds It Has Imported a Drug Problem', 'kicker': 'Dubai Journal', 'content_kicker': None, 'print_headline': 'Bustling Gulf City Finds It Has Imported a Drug Problem', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Drug Abuse and Traffic', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'United Arab Emirates', 'rank': 2, 'major': 'N'}]",Foreign,World,5,compound,-0.7845
6,6,The million in relief fund will be given to Palestinian President Mahmoud Bias to avoid dealing with James ,2006-07-20 04:00:00+00:00,"The $130 million in relief funds will be given to Palestinian President Mahmoud Abbas, to avoid dealing with Hamas.","{'main': 'Europeans Agree on Plan to Send Money to Palestinians', 'kicker': 'Fiscal Crisis', 'content_kicker': None, 'print_headline': 'Europeans Agree on Plan To Send Money To Palestinians', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'International Relations', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Middle East', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Hamas', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'ABBAS, MAHMOUD', 'rank': 4, 'major': 'N'}, {'name': 'organizations', 'value': 'United Nations', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Solana, Javier', 'rank': 7, 'major': 'N'}, {'name': 'organizations', 'value': 'European Union', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Embargoes and Economic Sanctions', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'World Bank', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'Finances', 'rank': 12, 'major': 'N'}, {'name': 'glocations', 'value': 'Europe', 'rank': 13, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 14, 'major': 'N'}, {'name': 'subject', 'value': 'Foreign Aid', 'rank': 15, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 16, 'major': 'N'}, {'name': 'glocations', 'value': 'Gaza Strip', 'rank': 17, 'major': 'N'}, {'name': 'organizations', 'value': 'Palestinian Authority', 'rank': 18, 'major': 'N'}]",Foreign,World,6,compound,0.128
7,7,Vice President Sick Henry find the power he ha asserted under attack and his own influence challenged ,2006-09-10 04:00:00+00:00,Vice President Dick Cheney finds the powers he has asserted under attack and his own influence challenged.,"{'main': 'Cheneyâs Power No Longer Goes Unquestioned', 'kicker': None, 'content_kicker': None, 'print_headline': 'Cheneyâs Power No Longer Goes Unquestioned', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Law and Legislation', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Cheney, Dick', 'rank': 3, 'major': 'N'}]",National,Washington,7,compound,-0.6597
8,8,The maneuver appeared to be a response to a U S led naval exercise in the Persian Gulf involving nation some of them neighbor of Ran ,2006-11-03 05:00:00+00:00,"The maneuver appeared to be a response to a U.S.-led naval exercise in the Persian Gulf  involving 25 nations, some of them neighbors of Iran.","{'main': 'Iran Revolutionary Guards Hold War Games After U.S. Exercise', 'kicker': None, 'content_kicker': None, 'print_headline': 'Iran Revolutionary Guards Hold War Games After U.S. Exercise', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Iran', 'rank': 2, 'major': 'N'}]",Foreign,World,8,compound,0.0
9,9,Is word of the mister election result spread across the globe the criticism of America wa le shrill le floating more texture than in the past ,2006-11-09 05:00:00+00:00,"As word of the midterm election results spread across the globe, the criticism of America was less shrill, less gloating, more textured than in the past.","{'main': 'Reactions From Abroad Set Conciliatory Tone, Seeing Vote as a Protest to Iraq Policy', 'kicker': None, 'content_kicker': None, 'print_headline': 'Reactions From Abroad Set Conciliatory Tone, Seeing Vote as a Protest to Iraq Policy', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Presidents and Presidency (US)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'PUBLIC OPINION', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Defense Department', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'HURRICANE KATRINA', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Election Results', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'Iraq', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'House of Representatives', 'rank': 11, 'major': 'N'}, {'name': 'glocations', 'value': 'Azerbaijan', 'rank': 12, 'major': 'N'}, {'name': 'glocations', 'value': 'Venezuela', 'rank': 13, 'major': 'N'}, {'name': 'glocations', 'value': 'Spain', 'rank': 14, 'major': 'N'}, {'name': 'glocations', 'value': 'LONDON (ENG)', 'rank': 15, 'major': 'N'}, {'name': 'glocations', 'value': 'Europe', 'rank': 16, 'major': 'N'}, {'name': 'glocations', 'value': 'Germany', 'rank': 17, 'major': 'N'}, {'name': 'persons', 'value': 'Howard, John', 'rank': 18, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 19, 'major': 'N'}, {'name': 'persons', 'value': 'Chavez, Hugo', 'rank': 20, 'major': 'N'}, {'name': 'persons', 'value': 'Blair, Tony', 'rank': 21, 'major': 'N'}, {'name': 'glocations', 'value': 'Great Britain', 'rank': 22, 'major': 'N'}, {'name': 'glocations', 'value': 'Australia', 'rank': 23, 'major': 'N'}, {'name': 'glocations', 'value': 'United States', 'rank': 24, 'major': 'N'}, {'name': 'persons', 'value': 'Rumsfeld, Donald H', 'rank': 25, 'major': 'N'}]",Foreign,World,9,compound,-0.4404
