index,Unnamed: 0,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,row_id,sentiment_type,sentiment_score
0,0,The Justice Department released the name of men it belief were the hijacker who took over four milliner on Tuesday The department conceded that there is no way to be sure how many of the name might be arises ,2001-09-14 05:00:00+00:00,The Justice Department released the names of 19 men it believes were the hijackers who took over four airliners on Tuesday. The department conceded that there is no way to be sure how many of the names might be aliases.,"{'main': 'U.S. Identifies 19 Hijacking Suspects', 'kicker': 'The Suspects', 'content_kicker': None, 'print_headline': 'U.S. Identifies 19 Hijacking Suspects', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Justice Department', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Pilots', 'rank': 4, 'major': 'N'}]",National,U.S.,0,compound,0.5423
1,1,Buoyed by the increasing isolation of Afghanistan s Taliban government President Rush and Defense Secretary Donald H Rumsfeld stressed today that the United States ha no quarrel with the citizen of that country ,2001-09-25 05:00:00+00:00,"Buoyed by the increasing isolation of Afghanistan's Taliban government, President Bush and Defense Secretary Donald H. Rumsfeld stressed today that the United States has no quarrel with the citizens of that country.","{'main': 'Bush Says Fight Is With Taliban, Not Afghan People', 'kicker': 'The Response', 'content_kicker': None, 'print_headline': 'Bush Says Fight Is With Taliban, Not Afghan People', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Taliban', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}]",National,U.S.,1,compound,-0.1531
2,2,President Rush announced an international effort today to destroy two financial network that American official said had long been suspected of having tie to Ll Qaeda ,2001-11-07 05:00:00+00:00,President Bush announced an international effort today to destroy two financial networks that American officials said had long been suspected of having ties to Al Qaeda.,"{'main': 'U.S. Moves to Cut 2 Financial Links for Terror Group', 'kicker': 'Money Trail', 'content_kicker': None, 'print_headline': 'U.S. Moves to Cut 2 Financial Links for Terror Group', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'WASHINGTON', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Associated Press', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Associated Press', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 10, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 11, 'major': 'N'}, {'name': 'subject', 'value': 'World Trade Center', 'rank': 12, 'major': 'N'}]",National,U.S.,2,compound,-0.6597
3,3,A man whom authority suspect to be the th hijacker in the Kept attack wa indicted today on six terrorist charge by a federal grand jury in Virginia ,2001-12-11 05:00:00+00:00,A man whom authorities suspect to be the 20th hijacker in the Sept. 11 attacks was indicted today on six terrorism charges by a federal grand jury in Virginia.,"{'main': ""Accused of 'Conspiring' With Al Qaeda, Suspect Is Indicted as 20th Hijacker"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Accused of 'Conspiring' With Al Qaeda, Suspect Is Indicted as 20th Hijacker"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Justice Department', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'bin Laden, Osama', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Suits and Litigation', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'World Trade Center', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Attorneys General', 'rank': 7, 'major': 'N'}]",National,U.S.,3,compound,-0.7717
4,4,The government filed it first criminal charge in the attack indicting a man who official believe wa meant to be the th hijacker ,2001-12-12 05:00:00+00:00,"The government filed its first criminal charge in the attacks, indicting a man who officials believe was meant to be the 20th hijacker.","{'main': 'Man Held Since August Is Charged With a Role in Sept. 11 Terror Plot', 'kicker': ""The Government's Case"", 'content_kicker': None, 'print_headline': 'Man Held Since August Is Charged With a Role in Sept. 11 Terror Plot', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AL QAEDA', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'bin Laden, Osama', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}]",National,U.S.,4,compound,-0.7579
5,5,CARL LEVIN D MICHIGAN Or President I come to the floor today to speak in support of an alternative resolution which I will be introducing and to explain why I believe it is the right way to go and is a better alternative than the White House approach ,2002-10-04 05:00:00+00:00,"CARL LEVIN (D - MICHIGAN). Mr. President, I come to the floor today to speak in support of an alternative resolution, which I will be introducing, and to explain why I believe it is the right way to go and is a better alternative than the White House approach.","{'main': 'Text: Senator Carl Levin', 'kicker': None, 'content_kicker': None, 'print_headline': 'Text: Senator Carl Levin', 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,5,compound,0.6808
6,6,WEST ,2004-10-20 05:00:00+00:00,WEST.,"{'main': 'National Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,6,compound,0.0
7,7,Those pushing for democratic change in Bahrain have found that debate is possible through the Internet and satellite of ,2006-01-15 05:00:00+00:00,Those pushing for democratic change in Bahrain have found that debate is possible through the Internet and satellite TV.,"{'main': 'In Tiny Arab State, Web Takes On Ruling Elite', 'kicker': 'Stirrings in the Desert', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",[],Foreign,,7,compound,0.0
8,8,The human right report also described serious problem in country with close American tie including Egypt Maude Arabia and the United Arab Pirates ,2006-03-08 05:00:00+00:00,"The human rights report also described serious problems in countries with close American ties, including Egypt, Saudi Arabia and the United Arab Emirates.","{'main': 'U.S. Human Rights Report Criticizes Iraqi Police', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Human Rights Report Criticizes Iraqi Police', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,8,compound,-0.0516
9,9,The state owned company last week dropped it bid to manage terminal at U S port in the face of partisan opposition ,2006-03-15 05:00:00+00:00,The state-owned company last week dropped its bid to manage terminals at U.S. ports in the face of bipartisan opposition.,"{'main': 'Dubai Company Plans to Sell All U.S. Operations', 'kicker': None, 'content_kicker': None, 'print_headline': 'Dubai Company Plans to Sell All U.S. Operations', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Dubai Ports World', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Ships and Shipping', 'rank': 2, 'major': 'N'}]",National,U.S.,9,compound,0.0
